Revenue,Zip,DollarPerPet,DollarPerClinic,TotalPets,TotalClinics,PetsPerClinic,Product.Sales,Product.Sales2,Avg.Vet.Cost,PercentCoupon,NumVets5mi,NmVets10mi,Est.Median.Inc,Rnd.Inc.5,Rnd.Pop,Population,Households,Est.Median.Inc2,Rnd.Inc.10,Pop3,Household4,Male,Female,White,PercWhite,Black,PercBlack,American.Indian,Asian,PercAsian,Hawaiian,Other.Race,X2Races,HispOrigin,PercHispanic,X2025Pop,Male5,Female6,White7,Black8,AmInd9,Asian10,HW11,Other12,X2Race13,HispOrigin14,X2025Pop15,target
90084.3894,95207,66.98,1732.36,1345,52,23.5912,0.12,10809.92,165,0.02,9,11,52629.78,60000,290000,288199,92334,59238.7256,60000,423032,146619.33,141180.24,147018.33,139610.84,0.48,29213.9,0.1038,1935,53736.31,0.19,1951.29,29198.65,32552.58,125995.26,0.43,320693.23,209269.96,213762.38,211577.35,39366.91,2979.38,75564.39,2832.41,44561.5,46150.4,186617.5,469954.72,90084.3894
113387.65,88300.11,86.1,2194.0125,1317,52,25.33,0.2759,32678.0426,189,0.02,9,25,87688.01,90000,70000,67238,24526.24,86383.37,90000,175951.72,66135,33184.83,34052.78,52925.3787,0.76,647.28,0.01,331.34,2960.12,0.04,181.83,7047.53,3013.52,14042.2,0.2,71301.84,85173.75,90104.19,136243.43,2929.08,811.7432,8545.5752,306.17,19201.45,8247.37,38262.28,186063.46,113387.65
111055.8,95662,83.2905,2135.69,1312,52,25.23,0.22,24432.28,165,0.03,26,50,81258.97,90000,250000,241000,91665,80033.95,90000,752936.9,277678,119918.59,121080.94,195057.01,0.78,7882.33,0.03,1192.09,16393.23,0.07,520.57,6644.48,13309.81,34391.12,0.14,273595.25,373234.75,389327.6761,534007.6165,37768.98,3615.2941,64573.25,3177.09,28989.22,47835.01,119732.41,846027.28,111055.8
105385.43,94635.63,78.88,1988.4,1336,53,25.21,0.21,22130.94,178,0.0255,9,24,65514.23,70000,190000,189642.64,76965,60935.93,70000,691124,255643,90580.46,97169.6462,108185.38,0.57,19059.39,0.1,1252.97,23822.37,0.13,2016.29,15981.89,14344.19,49905.24,0.26,203043.75,336119.24,355004.42,352336.39,82110.83,5022.53,114712.2,9371.01,77831.7,49739.01,197012.14,763631.14,105385.43
10062.22,29404.88,66.7375,1437.46,168,7,24,0.11,1106.84,215,0.04,1.38,1,71022.6,80000,10000,8348,3161,68547.54,70000,28204,10188,3831.25,4516.92,5844.74,0.5967,2035.09,0.2,4.68,75.5,0.01,5.3998,46.13,342.05,222.42,0.02,9602.32,13547.73,13992.4756,20346.3,6075.94,70.45,311.25,13.4446,361.57,1038.72,1063.43,31396.93,10062.22
101821.19,95035,84.71,1996.49,1202,51,23.57,0.2,20364.24,183,0.03,11,47.47,125277.7,126400,260000,256942,81285,112809.97,120000,1212655,395175,131537.76,125403.79,53442.21,0.21,7232.12,0.03,951.91,158612.89,0.61,669.78,24529.65,15938.238,43984.26,0.17,274898.83,618828.64,593826.31,413711.97,34347.47,6247.53,518741.67,6618,174758.41,55453.1923,298579.6369,1365905.21,101821.19
22461.76,94931,79.94,1871.81,281,12,23.42,0.24,5390.82,197,0.06,12,26,72289.32,80000,90000,87225,31434,75237.59,80000,312577,115284,41791.61,45433.16,62638.5,0.7,2248.65,0.02,773.02,4520.38,0.05,222.65,10392.3788,4665.78,25093.92,0.2633,92971.45,151954.12,160623.07,225986.61,6122.51,3268.28,14476.8,1372.12,43437.91,17912.95,89433.11,334728.12,22461.76
45573.18,1001,78.04,1822.93,584,25,18.6243,0.16,7291.71,202.26,0.0238,4,26.28,53885.9789,50000,190000,185291,70563,57854.16,60000,467708,176563,89242.15,94796.6217,136941.1,0.72,21932.19,0.12,751.8612,5282.02,0.03,49.83,14094.29,6221.73,60382.72,0.32,192103.01,228747.04,238961.3,371026.43,45411.04,1545.67,11934.65,223.1569,23190.57,14500.99,118578.15,483559.51,45573.18
107860.7364,95608,92.23,2100.43,1207,53,22.77,0.3,33396.84,178,0.03,17,46,60740.05,70100,360000,355274,135313,66301.5,70000,957145,358571,170032.11,185241.96,256233.51,0.71,27418.89,0.08,1846.84,22984.33,0.06,1334.86,20021.05,25434.59,66389.38,0.18,392946.79,467477.86,489667.09,655603.75,103790.7927,6535.36,102456.6698,5996.56,68642.12,61930.55,206130.6,1059372.8,107860.7364
45002.74,87645.97,80.65,1730.87,558,26,21.46,0.31,13950.85,184,0.0269,4,31,82345.04,90000,60000,50284,18391,74501.34,80000,283959,103658,24412.59,25871.64,38623.04,0.7147,646.95,0.01,727.9802,1925.8,0.0376,160.11,5467.05,3115.02,11940.45,0.2,50717.28,139175.96,144783.35,200632.76,5865.85,3319.28,12461.02,1213.26,42509.71,17957.43,87289.61,302778.31,45002.74
90670.67,95482,81.76,1743.67,1109,52,21.33,0.25,22667.67,189,0.01,2,4,50467.87,60000,30000,20667,7502,53397.442,60000,30489,10927,10200.09,10467.03,16755.24,0.605,170.6,0.01,664.94,515.747,0.02,39.22,1546.62,984.6,7311.96,0.24,20134.12,14850.53,15638.11,24882.96,242.89,1109.55,834.46,43.03,1838.78,1536.97,10033.82,29509.83,90670.67
84327.27,94660.86,78.66,1653.48,1072,51,21.02,0.17,14335.64,183,0.03,22,53,109421.98,110000,530000,528719,174492,115763.96,120000,1304759,420861,263672.18,265046.52,279204.9,0.53,16719.91,0.0366,3350.29,134864.27,0.25,1837.72,52464.8976,29017.864,160708.07,0.3,608646.24,656958.9062,647787.05,616647.2904,35425.4,6823.08,456891.45,6209.63,171726.66,66758.28,371083.42,1493026.62,84327.27
79150.01,95356,71.8113,1493.4,1108,50.99,20.91,0.14,11081,161.06,0.02,10,19,63957.0043,70000,230000,220859,76386.04,60501.93,70000,393778,126394,108627.29,112232.06,164535.38,0.72,8146.64,0.04,1989.39,14262.4235,0.07,2163.15,17509.54,10655.42,87338.27,0.38,239203.63,194719.67,199058.4,293340.16,11996.73,4420.2318,23523.75,3354.91,40953.8,17447.28,178277.58,425250.59,79150.01
93214.45,93454,84.43,1758.76,1104,53,20.83,0.2554,28896.48,182.17,0.01,1,6,62344.54,70000,120000,112954,30036,70417.31,80000,170378,49263,56304.9,56649.59,92434.37,0.77,1601.76,0.01,812.4818,5166.91,0.04,78.66,9263.21,3730.45,83114.13,0.69,121450.74,84436.87,85940.94,140905.56,2325.07,1539.764,7401.96,196.9,11919.99,6423.53,104531.87,181759.46,93214.45
93976.87,95945,85.98,1727.0997,1093,53,20.62,0.31,22956.0455,178,0.02,2,7,48154.69,50000,40000,30307,12501.93,58201.18,60000,62400,26714,14225.44,16081.64,27502.63,0.69,150.51,0.0322,552.96,282.3,0.01,53.0478,378.77,1412.91,2867.5891,0.07,29527.02,30155.21,32244.95,57487.38,350.14,693.77,547.66,104.13,615.96,2601.11,4713.68,61359.31,93976.87
40083.59,95472,77.98,1603.34,557.77,25,19.5114,0.24,9620.06,182,0.04,5,32,79109.34,80000,70000,63855,22628,74897.96,80000,299089.75,110411,30870.11,32984.56,45944.99,0.66,1010.44,0.01,713.13,2661.61,0.04,240.6,8956.44,4327.47,18688.02,0.27,64937.92,147273.45,154253.27,214915.17,6235.37,3505.98,13543.93,1301.1,43403.63,18621.55,87473.2397,322482.49,40083.59
79931.45,95019,77.53,1567.28,1031,51,20.22,0.23,18384.23,182,0.02,2,7,62210.09,70000,80000,79159,21979,72743.1874,80000,136609,42011,40433.68,38725.16,49144.1509,0.57,426.73,0.01,637.73,2036.6,0.03,48.06,28601.84,2064.3,58808.48,0.74,82186.5047,68729.1,67879.49,90400.31,976.93,1368.45,5199.809,119.21,34582.91,4998.21,76379.95,148777.76,79931.45
79377.8431,81605.4,73.91,1465.6,1051,53,19.83,0.28,21749.52,205.61,0.01,2,5,56654.56,60000,50000,45516.91,14930,60921.49,67900,66481.93,18051,25710.42,21929.12,31835.03,0.64,2629.523,0.04,628.9,1827.8,0.04,277.69,7300.04,3405.87,25134.87,0.5,52372.17,30727.45,26475.8,38914.04,2590.25,1004.86,2154.74,354.45,7955.72,4229.19,27998.56,62567.68,79377.8431
85389.22,95050,85.0691,1674.3,1001,51,19.63,0.23,19639.52,183,0.0246,31,61,115039.88,120000,610000,621677.49,219456,120520.43,130000,1606561,530884,310998.98,298729.57,280327.76,0.46,18354.28,0.03,2678.82,210987.1,0.35,2926.76,62468.87,31984.96,142236.56,0.23,691035.06,980292.4372,792906.13,804088.2789,42138.21,7795.88,609020.88,6944.35,226537.798,79481.75,413678.74,1823154.95,85389.22
93517.45,94403,92.78,1798.41,1008,52,19.38,0.28,23766.3323,189,0.03,23,38,139144.28,140000,270000,265332,99319,133204.82,140000,525378,186089,130699.87,134632.19,155806.73,0.5638,4625.9,0.02,930.94,67014.31,0.25,2664.61,18494.64,15794.93,47789.92,0.18,296275.59,259720.52,268448.8183,305719.03,11837.66,2236.69,114268.18,7434.16,54947.13,31119.0314,123709.87,590148.56,93517.45
59124.27,95492,81.89,1555.9,722,38,19,0.2477,15963.55,179,0.03,4.37,19,89573.66,90000,50900,46359,16585,83053.34,90000,156212,57683,23044.62,23313.93,34398.75,0.69,338.7,0.01,488.68,1159.3,0.02,2.82,6955.26,3015.05,14631.43,0.29,49552.77,77155.29,79056.43,114891.24,2387.45,1505.19,5474.14,581.85,21075.44,10296.41,45401.62,167740.74,59124.27
84257.98,95624,79.3636,1589.77,1006,53,18.98,0.21,17694.18,178,0.04,2,19,87349.96,90000,180000,174678,59932.67,69452.69,70000,471834,143756,84790.49,89887.9,76763.1,0.43,19779.66,0.11,1420.42,50857.92,0.28,3299.69,7360.79,15196.81,33770.97,0.19,188396.08,230677.97,241156.47,197969.86,60254.61,3621.61,115110.899,9825.64,42168.0708,38502.55,123338.31,516104.94,84257.98
86704.07,91803.94,88.29,1667.39,982,52,18.88,0.26,22543.06,190.34,0.04,17,49.93,64966.0324,70000,360000,358878,136375,66330.95,70700,961786,360522,171866.97,182065.2223,258702.23,0.6754,31075.3189,0.08,1874.12,23032.72,0.06,1386.64,20407.74,25665.47,67633.2,0.19,396565.4,469731.87,500351.2206,658308.3,103861.9882,6549.86,86828.79,6002.37,68874.87,62289.11,207043.5,1064180.96,86704.07
115757.37,95336,70.97,1330.54,1631,87,18.75,0.1,11575.74,173,0.03,4.06,5,71289.45,80000,107700,103859,31404,66634.62,70000,208157,60193,51570.8,52287.76,68017.7,0.6652,4490.8,0.04,753.62,11907.19,0.1027,501.73,9821.68,8365.85,42116.35,0.38,104143.93,106011.03,102146.42,130065.38,14727.21,1753.41,24421.54,702.28,21534.49,14953.14,94401.41,222365.91,115757.37
